taxa,stat,lower,median,upper,Nes,pA,n,name
noD,b,0.7208741065277501,1.0784413451150001,9.701355210499,500,0.01,20,dDFE
noD,S_d,-30945.07697275,-10243.5187085,-837.1660392007501,500,0.01,20,dDFE
noD,alpha_dfe,0.999866775,0.999992,1.0,500,0.01,20,dDFE
noD,alpha_div,0.999848375,0.9999889999999999,1.0,500,0.01,20,dDFE
noD,propSig,1.0,1.0,1.0,500,0.01,20,dDFE
withD,Sb_est,0.0,0.0,0.0,100,0.01,20,full_DFE
withD,pa_est,0.0,0.0,0.0,100,0.01,20,full_DFE
withD,b,0.0188495609595,0.01913121776,0.01939550580875,100,0.01,20,full_DFE
withD,S_d,-99967.16164105,-97958.22585599999,-90475.6760864,100,0.01,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,100,0.01,20,full_DFE
withD,alpha_div,0.174177025,0.17574,0.17740015,100,0.01,20,full_DFE
withD,product,0.0,0.0,0.0,100,0.01,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,100,0.01,20,full_DFE
noD,pa_est,0.0,0.0,0.0,100,0.01,20,full_DFE
noD,b,0.126207159161,0.1272662684,0.12828786145725002,100,0.01,20,full_DFE
noD,S_d,-99998.4681647,-99986.8510295,-99198.336775125,100,0.01,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,100,0.01,20,full_DFE
noD,alpha_div,0.788362025,0.7912779999999999,0.7936979999999999,100,0.01,20,full_DFE
noD,product,0.0,0.0,0.0,100,0.01,20,full_DFE
withD,Sb_est,49.49081495462001,49.958993276499996,83.55981918866999,500,0.001,20,dDFE
withD,pa_est,0.005563683789000001,0.00951739713,0.009633070795,500,0.001,20,dDFE
withD,b,0.25430409527700004,0.27275967448000005,0.284023725929,500,0.001,20,dDFE
withD,S_d,-2622.15346549,-1998.3515399,-1674.8217059,500,0.001,20,dDFE
withD,alpha_dfe,0.8094593999999999,0.823802,0.8308546,500,0.001,20,dDFE
withD,alpha_div,0.8094748,0.8238639999999999,0.8309119,500,0.001,20,dDFE
withD,propSig,1.0,1.0,1.0,500,0.001,20,dDFE
noD,Sb_est,0.7038246175584999,1.74058566697,4.2961650576779995,500,0.001,20,dDFE
noD,pa_est,0.0331486370875,0.06137370499,0.09426283803849997,500,0.001,20,dDFE
noD,b,0.317006626854,0.38370067418000003,0.4825484422715,500,0.001,20,dDFE
noD,S_d,-1554.15222222,-1138.6476179000001,-861.3497988305,500,0.001,20,dDFE
noD,alpha_dfe,0.63593475,0.710318,0.8147686999999999,500,0.001,20,dDFE
noD,alpha_div,0.86361325,0.9066280000000001,0.9456678,500,0.001,20,dDFE
noD,propSig,1.0,1.0,1.0,500,0.001,20,dDFE
withD,Sb_est,15.79749662348,31.112311372399997,69.9765363574775,50,0.001,20,dDFE
withD,pa_est,0.0006856609365,0.001548514765,0.0032011485782499987,50,0.001,20,dDFE
withD,b,0.28690876384925,0.29421037651000004,0.30274606074925003,50,0.001,20,dDFE
withD,S_d,-2248.128122855,-1977.70024165,-1777.83409803,50,0.001,20,dDFE
withD,alpha_dfe,0.34013940000000004,0.35541100000000003,0.381102475,50,0.001,20,dDFE
withD,alpha_div,0.340224675,0.35558649999999997,0.3812198,50,0.001,20,dDFE
withD,propSig,1.0,1.0,1.0,50,0.001,20,dDFE
noD,Sb_est,3.6380185219862504,8.155126335799999,18.335364559587504,50,0.001,20,dDFE
noD,pa_est,0.0012821741725,0.00284920378,0.0045751539525,50,0.001,20,dDFE
noD,b,0.28827518938749996,0.296830501025,0.30682153106875,50,0.001,20,dDFE
noD,S_d,-2211.0198998625,-1932.56209165,-1707.2572591624996,50,0.001,20,dDFE
noD,alpha_dfe,0.0936185,0.210334,0.31065325,50,0.001,20,dDFE
noD,alpha_div,0.34623625,0.36723049999999996,0.39107,50,0.001,20,dDFE
noD,propSig,1.0,1.0,1.0,50,0.001,20,dDFE
withD,Sb_est,6.885728057146999,7.66501572856,12.911193311945,100,0.01,20,dDFE
withD,pa_est,0.06281968669575,0.11262603659499999,0.12563857496175002,100,0.01,20,dDFE
withD,b,0.21764250411775,0.46051297398999996,0.53073931187875,100,0.01,20,dDFE
withD,S_d,-12329.998021825,-1150.56828265,-918.01986824325,100,0.01,20,dDFE
withD,alpha_dfe,0.892829125,0.9656950000000001,0.976080075,100,0.01,20,dDFE
withD,alpha_div,0.892818475,0.9656969999999999,0.9760835,100,0.01,20,dDFE
withD,propSig,1.0,1.0,1.0,100,0.01,20,dDFE
noD,Sb_est,4.194783952663499,5.17480916965,16.782565596889988,100,0.01,20,dDFE
noD,pa_est,0.068112361386,0.12759931408,0.14536344247549998,100,0.01,20,dDFE
noD,b,0.3075753375425,0.53222689305,0.6648446992269998,100,0.01,20,dDFE
noD,S_d,-2437.2701112900004,-942.20060248,-735.9340145525,100,0.01,20,dDFE
noD,alpha_dfe,0.9613549,0.9710030000000001,0.9822506,100,0.01,20,dDFE
noD,alpha_div,0.92158635,0.9761690000000001,0.9875409,100,0.01,20,dDFE
noD,propSig,1.0,1.0,1.0,100,0.01,20,dDFE
withD,Sb_est,0.0,0.0,0.0,1000,0.0001,20,full_DFE
withD,pa_est,0.0,0.0,0.0,1000,0.0001,20,full_DFE
withD,b,0.13478995478724998,0.135279073195,0.1359077617975,1000,0.0001,20,full_DFE
withD,S_d,-99989.1625115,-99875.040128,-97253.264935625,1000,0.0001,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,1000,0.0001,20,full_DFE
withD,alpha_div,0.102121075,0.104655,0.107389125,1000,0.0001,20,full_DFE
withD,product,0.0,0.0,0.0,1000,0.0001,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,1000,0.0001,20,full_DFE
noD,pa_est,0.0,0.0,0.0,1000,0.0001,20,full_DFE
noD,b,0.275503459953,0.28248538338,0.29056863173725,1000,0.0001,20,full_DFE
